"","cancer_study_id","name","description","cancer.bool"
"130","sclc_clcgp","Small Cell Lung Cancer (CLCGP, Nat Genet 2012)","Comprehensive profiling of 29 small cell lung cancer samples. Generated by the Clinical Lung Cancer Genome Project.",1
"131","sclc_jhu","Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)","Comprehensive profiling of 36 primary human SCLC tumors and 17 matched SCLC and lymphoblastoid cell lines. Generated by Johns Hopkins.",1
"132","sclc_ucologne_2015","Small Cell Lung Cancer (U Cologne, Nature 2015)","Comprehensive WGS profiling of 110 human SCLC specimens.",1
