ID,Name,Amy,Bender,Farnsworth,Fry,Hermes,Leela,Zapp,Zoidberg
1,Amy,351,1011,563,1008,326,886,39,348
2,Bender,1011,5480,1412,1815,976,3554,165,1137
3,Farnsworth,563,1412,1371,2489,657,1615,69,629
4,Fry,1008,1815,2489,5688,1166,2212,138,1101
5,Hermes,326,976,657,1166,500,1062,49,369
6,Leela,886,3554,1615,2212,1062,4179,136,1143
7,Zapp,39,165,69,138,49,136,18,65
8,Zoidberg,348,1137,629,1101,369,1143,65,729
